categoria,n,acuerdo,kappa,n_decididas,acuerdo_decididas,a_un_paso,n_en_escala
forma_de_gobierno,80,0.825,0.729,68,0.794,,
regla_de_decision,80,0.688,0.545,75,0.667,,
regimen_de_propiedad,80,0.9,0.823,68,0.882,,
sistema_economico,80,0.75,0.655,68,0.706,,
resolucion_de_disputas,80,0.637,0.555,64,0.547,,
castigo,80,0.887,0.803,64,0.859,,
salida,80,0.838,0.777,54,0.759,,
principio_distributivo,80,0.362,0.235,65,0.215,,
medicamentos,80,0.775,0.674,66,0.727,,
bote,80,0.887,0.788,64,0.859,,
conflicto_de_recursos_resuelto_por,80,0.938,0.89,80,0.938,,
eje_colectivo_individual,80,0.8,0.707,69,0.768,1.0,69
proteccion_ambiental,80,0.825,0.7,80,0.825,,
